Date,Open,High,Low,Close,Adj Close,Volume
2020-09-30,11328.549805,11535.009766,11328.549805,11418.059570,11418.059570,4228200000
2020-10-01,11554.959961,11606.730469,11488.599609,11583.200195,11583.200195,3978100000
2020-10-02,11328.849609,11479.080078,11225.169922,11255.690430,11255.690430,3715090000
2020-10-05,11345.240234,11512.059570,11336.070313,11509.059570,11509.059570,3597940000
2020-10-06,11476.679688,11536.419922,11256.259766,11291.269531,11291.269531,4360550000
2020-10-07,11412.650391,11519.549805,11382.480469,11503.190430,11503.190430,3891460000
2020-10-08,11576.440430,11582.780273,11510.240234,11550.940430,11550.940430,3486530000
2020-10-09,11615.570313,11727.599609,11600.860352,11725.849609,11725.849609,3475620000
2020-10-12,11900.120117,12204.750000,11880.230469,12088.110352,12088.110352,3862990000
2020-10-13,12131.070313,12187.780273,12032.750000,12083.169922,12083.169922,3607730000
2020-10-14,12105.099609,12159.209961,11913.570313,11985.360352,11985.360352,3393010000
2020-10-15,11767.269531,11928.629883,11765.490234,11898.570313,11898.570313,3304490000
2020-10-16,11952.120117,12034.129883,11824.139648,11852.169922,11852.169922,3156270000
2020-10-19,11913.009766,11962.469727,11606.480469,11634.349609,11634.349609,3455430000
2020-10-20,11679.080078,11801.400391,11613.759766,11677.839844,11677.839844,3483200000
2020-10-21,11686.190430,11789.459961,11646.480469,11665.370117,11665.370117,3445520000
2020-10-22,11712.639648,11739.219727,11529.730469,11662.910156,11662.910156,3414590000
2020-10-23,11680.730469,11693.009766,11569.089844,11692.570313,11692.570313,3134240000
2020-10-26,11584.169922,11708.080078,11360.730469,11504.519531,11504.519531,3186950000
2020-10-27,11560.860352,11633.490234,11503.099609,11598.950195,11598.950195,3079530000
2020-10-28,11400.480469,11426.099609,11136.099609,11142.759766,11142.759766,3912580000
2020-10-29,11214.330078,11467.370117,11187.080078,11350.740234,11350.740234,3222460000
2020-10-30,11265.700195,11293.759766,10960.019531,11052.950195,11052.950195,3662840000
2020-11-02,11152.480469,11222.519531,10957.110352,11084.759766,11084.759766,3196720000
2020-11-03,11155.849609,11356.080078,11115.549805,11279.910156,11279.910156,3190710000
2020-11-04,11627.759766,11846.459961,11564.910156,11777.019531,11777.019531,3606820000
2020-11-05,12021.769531,12117.040039,11977.070313,12078.070313,12078.070313,3823380000
2020-11-06,12044.290039,12116.910156,11895.500000,12091.349609,12091.349609,4156030000
2020-11-09,12194.709961,12268.660156,11818.240234,11830.389648,11830.389648,5823620000
2020-11-10,11704.459961,11761.950195,11512.459961,11624.290039,11624.290039,4712950000
2020-11-11,11734.809570,11904.129883,11714.320313,11892.929688,11892.929688,3823270000
2020-11-12,11924.150391,11976.889648,11786.089844,11827.139648,11827.139648,3862690000
2020-11-13,11910.620117,11957.089844,11808.950195,11937.839844,11937.839844,3640680000
2020-11-16,11925.360352,12035.500000,11891.849609,12013.379883,12013.379883,4138920000
